"Id","ProcessName","Path","CPU","WorkingSet"
"7588","ChatGPT","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2026.119.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe","6,4375","9428992"
"7720","ChatGPT","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2026.119.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe","0,65625","2564096"
"9912","ChatGPT","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2026.119.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe","5,421875","6729728"
"10160","ChatGPT","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2026.119.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe","72,078125","23814144"
"15384","ChatGPT","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2026.119.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe","0,171875","1806336"
"24592","chroma","C:\Users\StabX\AppData\Local\Programs\Python\Python313\Scripts\chroma.exe","0,015625","6295552"
"4972","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2,4375","7471104"
"5140","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","30,421875","188608512"
"6536","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2617,09375","287698944"
"7024","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","160,859375","216743936"
"7188","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","112,921875","171630592"
"7652","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,625","5656576"
"7684","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1515,296875","276377600"
"9476","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","9,9375","4849664"
"11468","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,78125","45772800"
"11716","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","55,234375","45965312"
"14348","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,078125","15069184"
"14964","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,75","16769024"
"15136","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1084,34375","413274112"
"16752","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1,125","8032256"
"17804","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","0,484375","38379520"
"19540","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","28,796875","24887296"
"19792","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","24,625","128786432"
